iter	Passed	Remaining
0	13	9454
1	24	8683
2	34	7962
3	42	7379
4	50	6962
5	57	6657
6	66	6581
7	76	6658
8	84	6524
9	93	6446
10	102	6401
11	109	6273
12	117	6225
13	125	6127
14	133	6077
15	142	6113
16	150	6062
17	159	6047
18	167	6003
19	175	5969
20	183	5921
21	190	5868
22	197	5807
23	204	5748
24	210	5682
25	217	5637
26	225	5610
27	232	5572
28	239	5539
29	246	5501
30	252	5457
31	259	5423
32	266	5388
33	273	5351
34	280	5324
35	286	5285
36	293	5254
37	299	5222
38	305	5186
39	312	5158
40	319	5129
41	326	5121
42	333	5101
43	341	5089
44	349	5081
45	355	5057
46	362	5034
47	369	5017
48	375	4988
49	382	4967
50	388	4944
51	394	4916
52	401	4906
53	408	4886
54	415	4877
55	423	4867
56	430	4852
57	438	4851
58	444	4828
59	450	4807
60	457	4789
61	463	4769
62	469	4751
63	475	4729
64	482	4710
65	488	4696
66	496	4686
67	502	4666
68	508	4651
69	517	4655
70	526	4665
71	534	4665
72	541	4648
73	547	4631
74	553	4608
75	559	4590
76	566	4580
77	572	4562
78	578	4550
79	586	4544
80	591	4522
81	598	4512
82	605	4498
83	611	4481
84	619	4485
85	631	4506
86	640	4510
87	649	4519
88	657	4511
89	665	4513
90	674	4515
91	687	4540
92	698	4561
93	705	4550
94	725	4620
95	757	4765
96	787	4896
97	796	4889
98	803	4878
99	811	4867
100	820	4866
101	831	4873
102	842	4881
103	850	4875
104	857	4861
105	864	4845
106	873	4841
107	882	4838
108	890	4828
109	899	4825
110	907	4817
111	914	4803
112	922	4793
113	931	4788
114	940	4783
115	948	4776
116	957	4769
117	966	4765
118	972	4746
119	979	4736
120	987	4723
121	999	4733
122	1011	4743
123	1021	4745
124	1032	4748
125	1042	4749
126	1050	4738
127	1059	4733
128	1067	4726
129	1075	4716
130	1081	4699
131	1090	4693
132	1098	4681
133	1104	4663
134	1110	4649
135	1121	4649
136	1130	4645
137	1142	4652
138	1152	4650
139	1160	4642
140	1176	4665
141	1186	4661
142	1195	4655
143	1203	4645
144	1210	4634
145	1217	4618
146	1224	4607
147	1230	4590
148	1241	4591
149	1250	4583
150	1259	4579
151	1267	4571
152	1276	4564
153	1285	4558
154	1293	4548
155	1302	4542
156	1312	4538
157	1327	4552
158	1336	4548
159	1347	4548
160	1355	4538
161	1361	4521
162	1370	4515
163	1378	4504
164	1388	4502
165	1398	4497
166	1404	4483
167	1413	4475
168	1419	4459
169	1429	4457
170	1438	4449
171	1444	4434
172	1452	4423
173	1459	4411
174	1467	4402
175	1475	4392
176	1481	4378
177	1491	4372
178	1498	4361
179	1505	4350
180	1513	4339
181	1520	4326
182	1526	4312
183	1535	4305
184	1544	4298
185	1550	4285
186	1559	4277
187	1565	4264
188	1573	4254
189	1579	4239
190	1584	4223
191	1590	4207
192	1596	4193
193	1603	4181
194	1609	4168
195	1617	4158
196	1624	4146
197	1630	4134
198	1639	4127
199	1654	4136
200	1685	4184
201	1702	4197
202	1713	4194
203	1727	4199
204	1741	4204
205	1753	4204
206	1763	4201
207	1776	4202
208	1784	4191
209	1796	4191
210	1807	4188
211	1820	4191
212	1841	4211
213	1858	4221
214	1877	4234
215	1900	4258
216	1922	4279
217	1937	4282
218	1954	4292
219	1968	4295
220	1979	4289
221	1991	4286
222	1999	4275
223	2007	4265
224	2016	4257
225	2024	4245
226	2031	4232
227	2038	4220
228	2047	4210
229	2054	4198
230	2065	4194
231	2073	4181
232	2079	4168
233	2087	4156
234	2094	4143
235	2104	4137
236	2111	4125
237	2118	4112
238	2126	4102
239	2134	4090
240	2142	4080
241	2149	4067
242	2158	4059
243	2168	4052
244	2175	4039
245	2182	4027
246	2190	4016
247	2203	4016
248	2213	4008
249	2221	3998
250	2229	3988
251	2236	3976
252	2246	3969
253	2253	3957
254	2262	3948
255	2269	3935
256	2277	3925
257	2286	3917
258	2293	3905
259	2302	3897
260	2310	3886
261	2318	3876
262	2327	3867
263	2335	3856
264	2342	3845
265	2349	3834
266	2358	3825
267	2367	3816
268	2374	3803
269	2382	3794
270	2391	3786
271	2397	3772
272	2404	3760
273	2410	3747
274	2417	3736
275	2425	3726
276	2434	3717
277	2440	3704
278	2448	3694
279	2454	3681
280	2461	3670
281	2468	3658
282	2474	3645
283	2479	3632
284	2487	3621
285	2492	3608
286	2498	3595
287	2503	3581
288	2508	3568
289	2514	3555
290	2520	3541
291	2525	3528
292	2532	3518
293	2539	3507
294	2549	3500
295	2555	3488
296	2562	3477
297	2570	3467
298	2575	3454
299	2583	3444
300	2590	3434
301	2596	3422
302	2602	3410
303	2608	3398
304	2614	3385
305	2621	3375
306	2628	3364
307	2635	3353
308	2641	3342
309	2648	3331
310	2654	3320
311	2659	3307
312	2664	3294
313	2670	3283
314	2676	3271
315	2683	3260
316	2690	3250
317	2698	3241
318	2703	3229
319	2710	3219
320	2716	3207
321	2723	3197
322	2730	3186
323	2736	3175
324	2744	3166
325	2754	3159
326	2762	3151
327	2772	3143
328	2779	3134
329	2785	3123
330	2795	3116
331	2801	3105
332	2813	3100
333	2821	3092
334	2828	3081
335	2834	3070
336	2839	3058
337	2847	3049
338	2853	3039
339	2861	3029
340	2867	3018
341	2873	3007
342	2878	2996
343	2885	2985
344	2890	2974
345	2897	2964
346	2902	2952
347	2907	2940
348	2912	2928
349	2918	2918
350	2924	2907
351	2932	2899
352	2942	2892
353	2950	2883
354	2958	2875
355	2966	2866
356	2973	2856
357	2978	2845
358	2984	2834
359	2992	2825
360	2998	2815
361	3003	2804
362	3008	2793
363	3015	2783
364	3022	2774
365	3029	2764
366	3037	2755
367	3042	2744
368	3049	2735
369	3055	2725
370	3060	2714
371	3065	2703
372	3073	2694
373	3078	2683
374	3086	2675
375	3094	2666
376	3100	2656
377	3106	2646
378	3114	2637
379	3121	2628
380	3129	2620
381	3136	2611
382	3141	2600
383	3149	2591
384	3154	2581
385	3160	2570
386	3165	2560
387	3172	2551
388	3178	2540
389	3184	2531
390	3190	2521
391	3194	2510
392	3201	2500
393	3207	2491
394	3214	2482
395	3220	2472
396	3226	2462
397	3231	2452
398	3237	2442
399	3243	2432
400	3250	2423
401	3256	2413
402	3262	2404
403	3268	2394
404	3273	2384
405	3280	2375
406	3285	2364
407	3291	2355
408	3297	2346
409	3302	2335
410	3306	2325
411	3311	2314
412	3319	2306
413	3326	2298
414	3333	2289
415	3338	2279
416	3345	2270
417	3352	2261
418	3358	2252
419	3365	2243
420	3372	2234
421	3378	2225
422	3384	2216
423	3389	2206
424	3395	2197
425	3400	2187
426	3406	2178
427	3413	2169
428	3420	2160
429	3426	2151
430	3433	2142
431	3439	2134
432	3446	2125
433	3452	2116
434	3460	2108
435	3467	2099
436	3473	2090
437	3479	2081
438	3486	2072
